site,species,attacks,,
33,iphiclus,1,,
34,iphiclus,2,,
35,iphiclus,0,,
36,iphiclus,0,,
37,iphiclus,0,,
38,iphiclus,0,,
39,iphiclus,0,,
40,iphiclus,0,,
41,iphiclus,0,,
42,iphiclus,0,,
43,iphiclus,0,,
44,iphiclus,2,,
45,iphiclus,1,,
46,iphiclus,0,,
47,iphiclus,0,,
48,iphiclus,1,,
49,iphiclus,1,,
50,iphiclus,0,,
51,iphiclus,0,,
52,iphiclus,0,,
53,iphiclus,2,,
54,iphiclus,0,,
55,iphiclus,0,,
56,iphiclus,0,,
57,iphiclus,0,,
58,iphiclus,1,,
59,iphiclus,0,,
60,iphiclus,0,,
61,iphiclus,0,,
62,iphiclus,0,,
63,iphiclus,0,,
64,iphiclus,1,,
65,iphiclus,1,,
66,iphiclus,0,,
67,iphiclus,0,,
68,iphiclus,0,,
69,iphiclus,0,,
70,iphiclus,1,,
71,iphiclus,0,,
72,iphiclus,0,,
73,iphiclus,0,,
74,iphiclus,0,,
75,iphiclus,0,,
76,iphiclus,2,,
77,iphiclus,0,,
78,iphiclus,2,,
79,iphiclus,1,,
80,iphiclus,2,,
81,iphiclus,0,,
82,iphiclus,0,,
83,iphiclus,0,,
84,iphiclus,0,,
85,iphiclus,0,,
86,iphiclus,0,,
87,iphiclus,0,,
88,iphiclus,0,,
89,iphiclus,0,,
90,iphiclus,0,,
91,iphiclus,1,,
92,iphiclus,0,,
93,iphiclus,0,,
94,iphiclus,0,,
95,iphiclus,0,,
96,iphiclus,0,,
97,iphiclus,0,,
98,iphiclus,0,,
99,iphiclus,1,,
100,iphiclus,0,,
1,leucopthalma,0,,
2,leucopthalma,0,,
3,leucopthalma,1,,
4,leucopthalma,0,,
5,leucopthalma,0,,
6,leucopthalma,1,,
7,leucopthalma,1,,
8,leucopthalma,2,,
9,leucopthalma,0,,
10,leucopthalma,0,,
11,leucopthalma,0,,
12,leucopthalma,0,,
13,leucopthalma,0,,
14,leucopthalma,0,,
15,leucopthalma,0,,
16,leucopthalma,1,,
17,leucopthalma,0,,
18,leucopthalma,0,,
19,leucopthalma,0,,
20,leucopthalma,0,,
21,leucopthalma,0,,
22,leucopthalma,0,,
23,leucopthalma,1,,
24,leucopthalma,1,,
25,leucopthalma,1,,
26,leucopthalma,1,,
27,leucopthalma,2,,
28,leucopthalma,3,,
29,leucopthalma,2,,
30,leucopthalma,1,,
31,leucopthalma,0,,
32,leucopthalma,0,,
33,leucopthalma,1,,
34,leucopthalma,0,,
35,leucopthalma,0,,
36,leucopthalma,1,,
37,leucopthalma,0,,
38,leucopthalma,0,,
39,leucopthalma,0,,
40,leucopthalma,0,,
41,leucopthalma,1,,
42,leucopthalma,0,,
43,leucopthalma,0,,
44,leucopthalma,0,,
45,leucopthalma,0,,
46,leucopthalma,1,,
47,leucopthalma,0,,
48,leucopthalma,0,,
49,leucopthalma,0,,
50,leucopthalma,0,,
51,leucopthalma,0,,
52,leucopthalma,0,,
53,leucopthalma,0,,
54,leucopthalma,0,,
55,leucopthalma,0,,
56,leucopthalma,2,,
57,leucopthalma,2,,
58,leucopthalma,2,,
59,leucopthalma,1,,
60,leucopthalma,1,,
61,leucopthalma,0,,
62,leucopthalma,3,,
63,leucopthalma,0,,
64,leucopthalma,0,,
65,leucopthalma,1,,
66,leucopthalma,1,,
67,leucopthalma,0,,
68,leucopthalma,1,,
69,leucopthalma,0,,
70,leucopthalma,1,,
71,leucopthalma,0,,
72,leucopthalma,1,,
73,leucopthalma,0,,
74,leucopthalma,1,,
75,leucopthalma,0,,
76,leucopthalma,1,,
77,leucopthalma,1,,
78,leucopthalma,1,,
79,leucopthalma,2,,
80,leucopthalma,0,,
81,leucopthalma,0,,
82,leucopthalma,3,,
83,leucopthalma,0,,
84,leucopthalma,0,,
85,leucopthalma,0,,
86,leucopthalma,0,,
87,leucopthalma,0,,
88,leucopthalma,0,,
89,leucopthalma,1,,
90,leucopthalma,0,,
91,leucopthalma,1,,
92,leucopthalma,1,,
93,leucopthalma,0,,
94,leucopthalma,0,,
95,leucopthalma,0,,
96,leucopthalma,0,,
97,leucopthalma,0,,
98,leucopthalma,0,,
99,leucopthalma,1,,
100,leucopthalma,0,,
1,serpa,1,,
2,serpa,0,,
3,serpa,0,,
4,serpa,2,,
5,serpa,0,,
6,serpa,1,,
7,serpa,0,,
8,serpa,2,,
9,serpa,2,,
10,serpa,1,,
11,serpa,0,,
12,serpa,0,,
13,serpa,0,,
14,serpa,0,,
15,serpa,0,,
16,serpa,1,,
17,serpa,0,,
18,serpa,0,,
19,serpa,2,,
20,serpa,0,,
21,serpa,0,,
22,serpa,2,,
23,serpa,1,,
24,serpa,0,,
25,serpa,0,,
26,serpa,1,,
27,serpa,3,,
28,serpa,2,,
29,serpa,1,,
30,serpa,1,,
31,serpa,0,,
32,serpa,0,,
33,serpa,0,,
34,serpa,0,,
35,serpa,1,,
36,serpa,0,,
37,serpa,0,,
38,serpa,0,,
39,serpa,1,,
40,serpa,1,,
41,serpa,0,,
42,serpa,0,,
43,serpa,0,,
44,serpa,3,,
45,serpa,0,,
46,serpa,0,,
47,serpa,0,,
48,serpa,0,,
49,serpa,2,,
50,serpa,0,,
51,serpa,0,,
52,serpa,0,,
53,serpa,0,,
54,serpa,0,,
55,serpa,1,,
56,serpa,1,,
57,serpa,0,,
58,serpa,0,,
59,serpa,0,,
60,serpa,1,,
61,serpa,0,,
62,serpa,0,,
63,serpa,0,,
64,serpa,1,,
65,serpa,0,,
66,serpa,1,,
67,serpa,0,,
68,serpa,0,,
69,serpa,0,,
70,serpa,1,,
71,serpa,1,,
72,serpa,0,,
73,serpa,0,,
74,serpa,0,,
75,serpa,0,,
76,serpa,2,,
77,serpa,0,,
78,serpa,3,,
79,serpa,0,,
80,serpa,1,,
81,serpa,1,,
82,serpa,2,,
83,serpa,1,,
84,serpa,1,,
85,serpa,1,,
86,serpa,1,,
87,serpa,0,,
88,serpa,0,,
89,serpa,0,,
90,serpa,0,,
91,serpa,2,,
92,serpa,0,,
93,serpa,0,,
94,serpa,3,,
95,serpa,0,,
96,serpa,0,,
97,serpa,0,,
98,serpa,0,,
99,serpa,0,,
100,serpa,0,,
